benchmark,leaderboard_rank,model_name,leaderboard_budget_field,leaderboard_budget_value,public_token_value,public_token_unit,public_token_note,report_token_value_used_for_tpm,report_token_unit_used_for_tpm,token_disclosure_status,encoding_note,tpm_estimate_from_report,source_reference,source_reference_note
LongVideoBench,31,LLaVA-1.5-7B,max_frames,8,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,Older LLaVA family entry; no fixed public video token count located in this pass for the leaderboard run.,"[26.1, 104.5]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,32,mPLUG-Owl2,max_frames,8,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[26.1, 104.5]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,33,PLLaVA-7B,max_frames,32,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[104.5, 418.1]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,34,VideoLLaVA,max_frames,8,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,"[26.1, 104.5]",https://longvideobench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LongVideoBench,35,VideoChat2 (Vicuna-7B),max_frames,16,96,tokens/video,MVBench supplementary Table 10 lists QFormer token=96 for Stage2/3; report treats this as 96 tokens/video.,96,tokens/video,public_fixed_tokens_per_video,UMT-L visual encoder + QFormer compression; public hyperparameters expose 96 QFormer tokens in later stages.,"[1.6, 6.4]",https://longvideobench.github.io/ ; https://openaccess.thecvf.com/content/CVPR2024/supplemental/Li_MVBench_A_Comprehensive_CVPR_2024_supplemental.pdf ; https://arxiv.org/abs/2407.15754 ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://longvideobench.github.io/ | Token/encoding source: MVBench supplementary Table 10 exposes QFormer token=96 in Stage2/3. | Benchmark method source: https://arxiv.org/abs/2407.15754 | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,1,Deep Video Discovery,Frames,-,,,,196,tokens/frame,not_publicly_disclosed_not_computable,Frames are not disclosed on the leaderboard row; report cannot compute TPM.,未公开/无法计算(frames='-'),https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,2,Seed1.5-VL-Thinking,Frames,-,,,,196,tokens/frame,not_publicly_disclosed_not_computable,Frames are not disclosed on the leaderboard row; report cannot compute TPM.,未公开/无法计算(frames='-'),https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,3,AdaReTaKe,Frames,≤1024,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,Leaderboard exposes only a frame bound; no fixed public tokenization located in this pass.,≤2936.4,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,4,GPT-4o-2024-11-20,Frames,60,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass; report uses standardized 196 tokens/frame baseline for TPM comparability.,172.1,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,5,GLM-4V-Plus-0111,Frames,≤300,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,Leaderboard exposes only the frame count or bound; no fixed public tokenization located in this pass.,≤860.3,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,6,InternVL2.5-78B,Frames,16,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public video token count located in this pass for the leaderboard run.,45.9,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,7,mPLUG-Owl3,Frames,64,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public video token count located in this pass for the leaderboard run.,183.5,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,8,Qwen2-VL-72B,Frames,48,256-1024,tokens/image (docs example; not fixed video/frame),"Qwen2-VL docs describe Naive Dynamic Resolution, M-ROPE, and an example range of 256-1024 tokens per image depending on min/max pixels. No fixed leaderboard video token count is public.",196,tokens/frame,dynamic_public_no_fixed_video_token_count,"Dynamic-resolution model; docs expose a token range for image settings, but not a single fixed tokens/frame value for this leaderboard run.",137.6,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/qwen2_vl ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,"Leaderboard source: https://lvbench.github.io/ | Token/encoding source: Official docs describe dynamic resolution, M-ROPE, and a 256-1024 tokens/image example; no fixed public video tokens/frame for leaderboard run. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf"
LVBench,9,TimeMarker,Frames,≤128,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,Leaderboard exposes only the frame count or bound; no fixed public tokenization located in this pass.,≤367.1,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,10,InternVL2-40B,Frames,16,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public video token count located in this pass for the leaderboard run.,45.9,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,11,GLM-4V-Plus,Frames,30,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public video token count located in this pass for the leaderboard run.,86.0,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,12,Gemini 1.5 Pro,Frames,3600,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass; report uses standardized 196 tokens/frame baseline for TPM comparability.,10323.3,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,13,LLaVA-NeXT-Video-DPO (34B),Frames,32,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,91.8,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,14,Oryx-34B,Frames,64,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,183.5,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,15,GPT-4o (2024-05-13),Frames,348,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass; report uses standardized 196 tokens/frame baseline for TPM comparability.,997.9,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,16,CogVLM2-Video,Frames,24,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,68.8,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,17,GPT-4o,Frames,10,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass; report uses standardized 196 tokens/frame baseline for TPM comparability.,28.7,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,18,PLLaVA 34B,Frames,16,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,No fixed public visual token count located in this pass for the leaderboard run.,45.9,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,19,LWM,Frames,>3600,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,Leaderboard exposes only a lower bound for frames; no fixed public tokenization located in this pass.,>10323.3,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,20,LLaMA-VID,Frames,>10800,2,tokens/frame,Official project states each frame is represented with two distinct tokens.,2,tokens/frame,public_fixed_tokens_per_frame,Dual-token design: one context token plus one content token per frame.,>316.0,https://lvbench.github.io/ ; https://llama-vid.github.io/ ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: Official project page says each frame uses two distinct tokens. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,21,MovieChat,Frames,>10000,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,Leaderboard exposes only a lower bound for frames; no fixed public tokenization located in this pass.,>28675.9,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
LVBench,22,TimeChat,Frames,>96,,,,196,tokens/frame,not_publicly_disclosed_standardized_196,Leaderboard exposes only a lower bound for frames; no fixed public tokenization located in this pass.,>275.3,https://lvbench.github.io/ ; https://huggingface.co/docs/transformers/main/model_doc/llava_onevision ; https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf ; /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf,Leaderboard source: https://lvbench.github.io/ | Token/encoding source: No fixed public token count located in this pass; report normalizes with the public LLaVA-OneVision 196 tokens/frame baseline. | Benchmark method source: https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_LVBench_An_Extreme_Long_Video_Understanding_Benchmark_ICCV_2025_paper.pdf | TPM/row values copied from user-provided report: /Users/mengchengxi/Desktop/追加更新：LVBench 与 LongVideoBench 两个 Leaderboard 的模型清单与视频 TPM 估算.pdf
